Nome,CodiceNAV
Acqua distillata in fusto da 5 l,S70012123
 BASETTA REGOLABILE MARCEGAGLIA H75 CM,993169A5
Adattatore Bussole da 1" F a 3/4" M 75 mm,970225
Adattatore bussole da 1/2" F a 3/4" M 50 mm,970523
ADATTATORE BUSSOLE DA 3/4" A 1/2",977002N
ADATTATORE DA SPINA 220 V 16 A,SE0000294
ADIBLUE,SE0000476
Ago Vibrante Ø 37 mm vibratore per calcestruzzo,977003N
Ago Vibrante Ø 50 mm vibratore per calcestruzzo,970448
Ago Vibrante Ø 70 mm vibratore per calcestruzzo,977005
ALZABOBINA SOLLEVAM.A VITE 1600 kg (COPPIA),992890
ALZATIRA PORTATA 1600 kg (16 kN catena 3 m) - cric - paranco,979041
ALZATIRA PORTATA 3200 kg (32 kN catena 3 m) - cric - paranco,970155
ALZATIRA PORTATA 6300 kg (63 kN catena 3 m) - cric - paranco,979042
ALZATIRA PORTATA 9000 kg (90 kN catena 3 m) - cric - paranco,970156A90
ANALIZZATORE DI INTERRUTTORI E MICRO-OHMMETRO,979021
ANALIZZATORE DINAMOMETRICO ,970440
ANCHOR CABLE 100 cm,977006
ANCORAGGIO PES 50 mm - UNCINO da 14 m,970273
ANCORAGGIO PES 50 mm - UNCINO da 9 m,970241
ANELLO H 20 PER POZZETTO 90x70,800006
ANELLO H 40 PER POZZETTO 125x80,800007
ANELLO H 50 PER POZZETTI - D150,971124
Anello prolunga h 20 per pozzetto int. 125x80,800005
Anello Prolunga Telecom 90x70 h 20 cm cls,971153
ANGOLARE DA 1MT X PILASTRO FOND. 101/.. N° 8,101C
ANGOLARE DA 1MT X PILASTRO FOND. 102/.. N° 8,102C
ANGOLARE DA 1MT X PILASTRO FOND. 103/.. N° 8,103C
ANGOLARE DA 1MT X PILASTRO FOND. 104/.. N° 8,104C
ANGOLARE DA 1MT X PILASTRO FOND. 105/..N° 8,105C
ANGOLARE DA 1MT X PILASTRO FOND. 106/.. N° 8,106C
